SPECIES,ECOREGION,BREEDING_CODE,SUITABILITY,BBA_REASON,NOTES,SAFE_DATE_START_DT,SAFE_DATE_END_DT,SAFE_DATE_START_JD,SAFE_DATE_END_JD,NC_STATUS,SPP_ER_BC
American Goshawk,C,A,S,,,,,,,Nonbreeder (but Possible Breeder),American Goshawk-C-A
American Goshawk,C,B,U,Code not suitable for species,,,,,,Nonbreeder (but Possible Breeder),American Goshawk-C-B
American Goshawk,C,C,S,,,,,,,Nonbreeder (but Possible Breeder),American Goshawk-C-C
American Goshawk,C,CF,F,,,,,,,Nonbreeder (but Possible Breeder),American Goshawk-C-CF
American Goshawk,C,CN,S,,,,,,,Nonbreeder (but Possible Breeder),American Goshawk-C-CN
American Goshawk,C,DD,U,,,,,,,Nonbreeder (but Possible Breeder),American Goshawk-C-DD
American Goshawk,C,F,S,,,,,,,Nonbreeder (but Possible Breeder),American Goshawk-C-F
American Goshawk,C,FL,S,,,,,,,Nonbreeder (but Possible Breeder),American Goshawk-C-FL
American Goshawk,C,FS,U,,,,,,,Nonbreeder (but Possible Breeder),American Goshawk-C-FS
American Goshawk,C,FY,S,,,,,,,Nonbreeder (but Possible Breeder),American Goshawk-C-FY
American Goshawk,C,H,S,,,,,,,Nonbreeder (but Possible Breeder),American Goshawk-C-H
American Goshawk,C,M,F,,,,,,,Nonbreeder (but Possible Breeder),American Goshawk-C-M
American Goshawk,C,N,S,,,,,,,Nonbreeder (but Possible Breeder),American Goshawk-C-N
American Goshawk,C,NB,S,,,,,,,Nonbreeder (but Possible Breeder),American Goshawk-C-NB
American Goshawk,C,NE,S,,,,,,,Nonbreeder (but Possible Breeder),American Goshawk-C-NE
American Goshawk,C,NY,S,,,,,,,Nonbreeder (but Possible Breeder),American Goshawk-C-NY
American Goshawk,C,ON,S,,,,,,,Nonbreeder (but Possible Breeder),American Goshawk-C-ON
American Goshawk,C,P,S,,,,,,,Nonbreeder (but Possible Breeder),American Goshawk-C-P
American Goshawk,C,PE,F,,,,,,,Nonbreeder (but Possible Breeder),American Goshawk-C-PE
American Goshawk,C,S,F,,,,,,,Nonbreeder (but Possible Breeder),American Goshawk-C-S
American Goshawk,C,S7,F,,,,,,,Nonbreeder (but Possible Breeder),American Goshawk-C-S7
American Goshawk,C,T,S,,,,,,,Nonbreeder (but Possible Breeder),American Goshawk-C-T
American Goshawk,C,UN,S,,,,,,,Nonbreeder (but Possible Breeder),American Goshawk-C-UN
Coopers Hawk,C,A,S,,,,,,,Breeder,Coopers Hawk-C-A
Coopers Hawk,C,B,U,Code not suitable for species,"code only appropriate for woodpeckers, wrens",,,,,Breeder,Coopers Hawk-C-B
Coopers Hawk,C,C,S,,,,,,,Breeder,Coopers Hawk-C-C
Coopers Hawk,C,CF,F,,,,,,,Breeder,Coopers Hawk-C-CF
Coopers Hawk,C,CN,S,,,,,,,Breeder,Coopers Hawk-C-CN
Coopers Hawk,C,DD,U,,,,,,,Breeder,Coopers Hawk-C-DD
Coopers Hawk,C,F,S,,,,,,,Breeder,Coopers Hawk-C-F
Coopers Hawk,C,FL,S,,,,,,,Breeder,Coopers Hawk-C-FL
Coopers Hawk,C,FS,U,,,,,,,Breeder,Coopers Hawk-C-FS
Coopers Hawk,C,FY,S,,,,,,,Breeder,Coopers Hawk-C-FY
Coopers Hawk,C,H,S,,,,,,,Breeder,Coopers Hawk-C-H
Coopers Hawk,C,M,F,,,,,,,Breeder,Coopers Hawk-C-M
Coopers Hawk,C,N,S,,,,,,,Breeder,Coopers Hawk-C-N
Coopers Hawk,C,NB,S,,,,,,,Breeder,Coopers Hawk-C-NB
Coopers Hawk,C,NE,S,,,,,,,Breeder,Coopers Hawk-C-NE
Coopers Hawk,C,NY,S,,,,,,,Breeder,Coopers Hawk-C-NY
Coopers Hawk,C,ON,S,,,,,,,Breeder,Coopers Hawk-C-ON
Coopers Hawk,C,P,S,,,,,,,Breeder,Coopers Hawk-C-P
Coopers Hawk,C,PE,F,,,,,,,Breeder,Coopers Hawk-C-PE
Coopers Hawk,C,S,F,,,,,,,Breeder,Coopers Hawk-C-S
Coopers Hawk,C,S7,F,,,,,,,Breeder,Coopers Hawk-C-S7
Coopers Hawk,C,T,S,,,,,,,Breeder,Coopers Hawk-C-T
Coopers Hawk,C,UN,S,,,,,,,Breeder,Coopers Hawk-C-UN
Sharp-shinned Hawk,C,A,S,,,6/1,7/31,153,213,Breeder,Sharp-shinned Hawk-C-A
Sharp-shinned Hawk,C,B,U,Code not suitable for species,"code only appropriate for woodpeckers, wrens",6/1,7/31,153,213,Breeder,Sharp-shinned Hawk-C-B
Sharp-shinned Hawk,C,C,S,,,6/1,7/31,153,213,Breeder,Sharp-shinned Hawk-C-C
Sharp-shinned Hawk,C,CF,F,,,6/1,7/31,153,213,Breeder,Sharp-shinned Hawk-C-CF
Sharp-shinned Hawk,C,CN,S,,,6/1,7/31,153,213,Breeder,Sharp-shinned Hawk-C-CN
Sharp-shinned Hawk,C,DD,U,,,6/1,7/31,153,213,Breeder,Sharp-shinned Hawk-C-DD
Sharp-shinned Hawk,C,F,S,,,6/1,7/31,153,213,Breeder,Sharp-shinned Hawk-C-F
Sharp-shinned Hawk,C,FL,S,,,6/1,7/31,153,213,Breeder,Sharp-shinned Hawk-C-FL
Sharp-shinned Hawk,C,FS,U,,,6/1,7/31,153,213,Breeder,Sharp-shinned Hawk-C-FS
Sharp-shinned Hawk,C,FY,S,,,6/1,7/31,153,213,Breeder,Sharp-shinned Hawk-C-FY
Sharp-shinned Hawk,C,H,S,,,6/1,7/31,153,213,Breeder,Sharp-shinned Hawk-C-H
Sharp-shinned Hawk,C,M,U,,,6/1,7/31,153,213,Breeder,Sharp-shinned Hawk-C-M
Sharp-shinned Hawk,C,N,S,,,6/1,7/31,153,213,Breeder,Sharp-shinned Hawk-C-N
Sharp-shinned Hawk,C,NB,S,,,6/1,7/31,153,213,Breeder,Sharp-shinned Hawk-C-NB
Sharp-shinned Hawk,C,NE,S,,,6/1,7/31,153,213,Breeder,Sharp-shinned Hawk-C-NE
Sharp-shinned Hawk,C,NY,S,,,6/1,7/31,153,213,Breeder,Sharp-shinned Hawk-C-NY
Sharp-shinned Hawk,C,ON,S,,,6/1,7/31,153,213,Breeder,Sharp-shinned Hawk-C-ON
Sharp-shinned Hawk,C,P,S,,,6/1,7/31,153,213,Breeder,Sharp-shinned Hawk-C-P
Sharp-shinned Hawk,C,PE,F,,,6/1,7/31,153,213,Breeder,Sharp-shinned Hawk-C-PE
Sharp-shinned Hawk,C,S,F,,,6/1,7/31,153,213,Breeder,Sharp-shinned Hawk-C-S
Sharp-shinned Hawk,C,S7,F,,,6/1,7/31,153,213,Breeder,Sharp-shinned Hawk-C-S7
Sharp-shinned Hawk,C,T,S,,,6/1,7/31,153,213,Breeder,Sharp-shinned Hawk-C-T
Sharp-shinned Hawk,C,UN,S,,,6/1,7/31,153,213,Breeder,Sharp-shinned Hawk-C-UN
Red-tailed Hawk,C,A,S,,,5/10,8/20,131,233,Breeder,Red-tailed Hawk-C-A
Red-tailed Hawk,C,B,U,Code not suitable for species,"code only appropriate for woodpeckers, wrens",5/10,8/20,131,233,Breeder,Red-tailed Hawk-C-B
Red-tailed Hawk,C,C,S,,,5/10,8/20,131,233,Breeder,Red-tailed Hawk-C-C
Red-tailed Hawk,C,CF,F,,,5/10,8/20,131,233,Breeder,Red-tailed Hawk-C-CF
Red-tailed Hawk,C,CN,S,,,5/10,8/20,131,233,Breeder,Red-tailed Hawk-C-CN
Red-tailed Hawk,C,DD,U,,,5/10,8/20,131,233,Breeder,Red-tailed Hawk-C-DD
Red-tailed Hawk,C,F,S,,,5/10,8/20,131,233,Breeder,Red-tailed Hawk-C-F
Red-tailed Hawk,C,FL,S,,,5/10,8/20,131,233,Breeder,Red-tailed Hawk-C-FL
Red-tailed Hawk,C,FS,U,,,5/10,8/20,131,233,Breeder,Red-tailed Hawk-C-FS
Red-tailed Hawk,C,FY,S,,,5/10,8/20,131,233,Breeder,Red-tailed Hawk-C-FY
Red-tailed Hawk,C,H,S,,,5/10,8/20,131,233,Breeder,Red-tailed Hawk-C-H
Red-tailed Hawk,C,M,F,,,5/10,8/20,131,233,Breeder,Red-tailed Hawk-C-M
Red-tailed Hawk,C,N,S,,,5/10,8/20,131,233,Breeder,Red-tailed Hawk-C-N
Red-tailed Hawk,C,NB,S,,,5/10,8/20,131,233,Breeder,Red-tailed Hawk-C-NB
Red-tailed Hawk,C,NE,S,,,5/10,8/20,131,233,Breeder,Red-tailed Hawk-C-NE
Red-tailed Hawk,C,NY,S,,,5/10,8/20,131,233,Breeder,Red-tailed Hawk-C-NY
Red-tailed Hawk,C,ON,S,,,5/10,8/20,131,233,Breeder,Red-tailed Hawk-C-ON
Red-tailed Hawk,C,P,S,,,5/10,8/20,131,233,Breeder,Red-tailed Hawk-C-P
Red-tailed Hawk,C,PE,F,,,5/10,8/20,131,233,Breeder,Red-tailed Hawk-C-PE
Red-tailed Hawk,C,S,F,,,5/10,8/20,131,233,Breeder,Red-tailed Hawk-C-S
Red-tailed Hawk,C,S7,F,,,5/10,8/20,131,233,Breeder,Red-tailed Hawk-C-S7
Red-tailed Hawk,C,T,S,,,5/10,8/20,131,233,Breeder,Red-tailed Hawk-C-T
Red-tailed Hawk,C,UN,S,,,5/10,8/20,131,233,Breeder,Red-tailed Hawk-C-UN
Red-shouldered Hawk,C,A,S,,,5/10,8/20,131,233,Breeder,Red-shouldered Hawk-C-A
Red-shouldered Hawk,C,B,U,Code not suitable for species,"code only appropriate for woodpeckers, wrens",5/10,8/20,131,233,Breeder,Red-shouldered Hawk-C-B
Red-shouldered Hawk,C,C,S,,,5/10,8/20,131,233,Breeder,Red-shouldered Hawk-C-C
Red-shouldered Hawk,C,CF,F,,,5/10,8/20,131,233,Breeder,Red-shouldered Hawk-C-CF
Red-shouldered Hawk,C,CN,S,,,5/10,8/20,131,233,Breeder,Red-shouldered Hawk-C-CN
Red-shouldered Hawk,C,DD,U,,,5/10,8/20,131,233,Breeder,Red-shouldered Hawk-C-DD
Red-shouldered Hawk,C,F,S,,,5/10,8/20,131,233,Breeder,Red-shouldered Hawk-C-F
Red-shouldered Hawk,C,FL,S,,,5/10,8/20,131,233,Breeder,Red-shouldered Hawk-C-FL
Red-shouldered Hawk,C,FS,U,,,5/10,8/20,131,233,Breeder,Red-shouldered Hawk-C-FS
Red-shouldered Hawk,C,FY,S,,,5/10,8/20,131,233,Breeder,Red-shouldered Hawk-C-FY
Red-shouldered Hawk,C,H,S,,,5/10,8/20,131,233,Breeder,Red-shouldered Hawk-C-H
Red-shouldered Hawk,C,M,F,,,5/10,8/20,131,233,Breeder,Red-shouldered Hawk-C-M
Red-shouldered Hawk,C,N,S,,,5/10,8/20,131,233,Breeder,Red-shouldered Hawk-C-N
Red-shouldered Hawk,C,NB,S,,,5/10,8/20,131,233,Breeder,Red-shouldered Hawk-C-NB
Red-shouldered Hawk,C,NE,S,,,5/10,8/20,131,233,Breeder,Red-shouldered Hawk-C-NE
Red-shouldered Hawk,C,NY,S,,,5/10,8/20,131,233,Breeder,Red-shouldered Hawk-C-NY
Red-shouldered Hawk,C,ON,S,,,5/10,8/20,131,233,Breeder,Red-shouldered Hawk-C-ON
Red-shouldered Hawk,C,P,S,,,5/10,8/20,131,233,Breeder,Red-shouldered Hawk-C-P
Red-shouldered Hawk,C,PE,F,,,5/10,8/20,131,233,Breeder,Red-shouldered Hawk-C-PE
Red-shouldered Hawk,C,S,F,,,5/10,8/20,131,233,Breeder,Red-shouldered Hawk-C-S
Red-shouldered Hawk,C,S7,F,,,5/10,8/20,131,233,Breeder,Red-shouldered Hawk-C-S7
Red-shouldered Hawk,C,T,S,,,5/10,8/20,131,233,Breeder,Red-shouldered Hawk-C-T
Red-shouldered Hawk,C,UN,S,,,5/10,8/20,131,233,Breeder,Red-shouldered Hawk-C-UN
Broad-winged Hawk,C,A,S,,,6/15,8/10,167,223,Breeder,Broad-winged Hawk-C-A
Broad-winged Hawk,C,B,U,Code not suitable for species,"code only appropriate for woodpeckers, wrens",6/15,8/10,167,223,Breeder,Broad-winged Hawk-C-B
Broad-winged Hawk,C,C,S,,,6/15,8/10,167,223,Breeder,Broad-winged Hawk-C-C
Broad-winged Hawk,C,CF,F,,,6/15,8/10,167,223,Breeder,Broad-winged Hawk-C-CF
Broad-winged Hawk,C,CN,S,,,6/15,8/10,167,223,Breeder,Broad-winged Hawk-C-CN
Broad-winged Hawk,C,DD,U,,,6/15,8/10,167,223,Breeder,Broad-winged Hawk-C-DD
Broad-winged Hawk,C,F,S,,,6/15,8/10,167,223,Breeder,Broad-winged Hawk-C-F
Broad-winged Hawk,C,FL,S,,,6/15,8/10,167,223,Breeder,Broad-winged Hawk-C-FL
Broad-winged Hawk,C,FS,U,,,6/15,8/10,167,223,Breeder,Broad-winged Hawk-C-FS
Broad-winged Hawk,C,FY,S,,,6/15,8/10,167,223,Breeder,Broad-winged Hawk-C-FY
Broad-winged Hawk,C,H,S,,,6/15,8/10,167,223,Breeder,Broad-winged Hawk-C-H
Broad-winged Hawk,C,M,F,,,6/15,8/10,167,223,Breeder,Broad-winged Hawk-C-M
Broad-winged Hawk,C,N,S,,,6/15,8/10,167,223,Breeder,Broad-winged Hawk-C-N
Broad-winged Hawk,C,NB,S,,,6/15,8/10,167,223,Breeder,Broad-winged Hawk-C-NB
Broad-winged Hawk,C,NE,S,,,6/15,8/10,167,223,Breeder,Broad-winged Hawk-C-NE
Broad-winged Hawk,C,NY,S,,,6/15,8/10,167,223,Breeder,Broad-winged Hawk-C-NY
Broad-winged Hawk,C,ON,S,,,6/15,8/10,167,223,Breeder,Broad-winged Hawk-C-ON
Broad-winged Hawk,C,P,S,,,6/15,8/10,167,223,Breeder,Broad-winged Hawk-C-P
Broad-winged Hawk,C,PE,F,,,6/15,8/10,167,223,Breeder,Broad-winged Hawk-C-PE
Broad-winged Hawk,C,S,F,,,6/15,8/10,167,223,Breeder,Broad-winged Hawk-C-S
Broad-winged Hawk,C,S7,F,,,6/15,8/10,167,223,Breeder,Broad-winged Hawk-C-S7
Broad-winged Hawk,C,T,S,,,6/15,8/10,167,223,Breeder,Broad-winged Hawk-C-T
Broad-winged Hawk,C,UN,S,,,6/15,8/10,167,223,Breeder,Broad-winged Hawk-C-UN
Northern Harrier,C,A,S,,,5/20,7/25,141,207,Breeder,Northern Harrier-C-A
Northern Harrier,C,B,U,Code not suitable for species,"code only appropriate for woodpeckers, wrens",5/20,7/25,141,207,Breeder,Northern Harrier-C-B
Northern Harrier,C,C,S,,,5/20,7/25,141,207,Breeder,Northern Harrier-C-C
Northern Harrier,C,CF,F,,,5/20,7/25,141,207,Breeder,Northern Harrier-C-CF
Northern Harrier,C,CN,S,,,5/20,7/25,141,207,Breeder,Northern Harrier-C-CN
Northern Harrier,C,DD,U,,,5/20,7/25,141,207,Breeder,Northern Harrier-C-DD
Northern Harrier,C,F,S,,,5/20,7/25,141,207,Breeder,Northern Harrier-C-F
Northern Harrier,C,FL,S,,,5/20,7/25,141,207,Breeder,Northern Harrier-C-FL
Northern Harrier,C,FS,U,,,5/20,7/25,141,207,Breeder,Northern Harrier-C-FS
